# X,Y,Z,error,cx_i,cy_i
-2.230915111786526268e+03,-1.348687346559365551e+03,4.085215279798870824e+02,2.463224699239382753e-01,2.619142857142857039e+01,1.377935185185185219e+03,2.601240852688514238e+01,1.064936484490398925e+03,nan,nan,2.590826271186440408e+02,1.255140342052313827e+03
-2.216310645867351013e+03,-1.326506068242562378e+03,3.720080843613125694e+02,5.091228437334172074e-01,4.493466721110657147e+01,1.370027528089887710e+03,4.211099137931034164e+01,1.054144196951934418e+03,nan,nan,2.700960102960103200e+02,1.238042063492063562e+03
-2.113916644535111573e+03,-9.042594258537658334e+02,4.986103624269601369e+02,4.079259690619703727e-01,5.981828442437923599e+01,1.193963022508038648e+03,9.118561710398445541e+00,9.048807817589577098e+02,nan,nan,2.739194729136164028e+02,1.048091781643671311e+03
-2.278882312003386232e+03,-9.996064347412348070e+02,3.049563859161997925e+02,3.284588645062819778e-01,6.909133489461358124e+01,1.246994652406417117e+03,3.194904740806380161e+01,9.239746192893401258e+02,nan,nan,2.199229249011857803e+02,1.078987603305785115e+03
-2.152088649882807658e+03,-1.331808192005684532e+03,3.510164452807726434e+02,6.910257954300577099e-01,7.112716763005779796e+01,1.371018181818181802e+03,6.990403706154864949e+01,1.057026479750778890e+03,nan,nan,3.068308786185880876e+02,1.233958037443512012e+03
-2.092408205748500677e+03,-1.383839518249410503e+03,3.951347731992493095e+02,3.862642169337975884e-01,7.211378737541528494e+01,1.388998966942148854e+03,7.503861003861004519e+01,1.082981173062997868e+03,nan,nan,3.361876623376623456e+02,1.262168822328114402e+03
-2.136702387405583522e+03,-1.387879475410032910e+03,3.351602230454031996e+02,5.890844867397174722e-01,7.901430517711172286e+01,1.392861153262518883e+03,8.196482716798058732e+01,1.076066037735849022e+03,nan,nan,3.210416036308623120e+02,1.257960515021459287e+03
-2.123778927688725616e+03,-1.428573947021074673e+03,3.337253411296699142e+02,2.807185845472539021e-01,8.105598455598455132e+01,1.409126286248830638e+03,8.805368647100929991e+01,1.091983886255924062e+03,nan,nan,3.310092547491476012e+02,1.275026517383618057e+03
-2.066707934599495729e+03,-7.703764209789134156e+02,4.958981653696057492e+02,3.624802251679080101e-01,8.302896022330774883e+01,1.139924174480228203e+03,1.995776031434184716e+01,8.530896624472574103e+02,3.320548327137546494e+02,8.279771371769384132e+02,nan,nan
-2.273526006710171259e+03,-9.773822176123833287e+02,2.511077650961157985e+02,4.334470750163807451e-01,9.001865423051299331e+01,1.241058148431522568e+03,5.100693909020817074e+01,9.129089236430543224e+02,2.339738079247817382e+02,9.509141989369779822e+02,nan,nan
